1,1,1,3,2015-08-08,2016-08-07
2,2,2,2,2015-08-01,2016-04-07
3,3,3,1,2015-08-02,\N
4,4,4,3,2015-08-08,\N
5,5,5,2,2015-08-01,2016-04-04
6,6,6,3,2015-08-08,2016-08-07
7,7,7,2,2015-08-01,2016-04-07
8,8,8,1,2015-08-02,\N
9,9,9,3,2015-08-08,\N
10,10,10,2,2015-08-01,2016-04-04
11,11,11,3,2015-08-08,2016-08-07
12,12,12,2,2015-08-01,2016-04-07
13,13,13,1,2015-08-02,\N
14,14,14,3,2015-08-08,\N
15,15,15,2,2015-08-01,2016-04-04
16,16,16,3,2015-08-08,2016-08-07
17,17,17,2,2015-08-01,2016-04-07
18,18,18,1,2015-08-02,\N
19,19,19,3,2015-08-08,\N
20,20,20,2,2015-08-01,2016-04-04


